title,jd,proposal,status,hired,proposals
Zapier & API Expert for multiple softwares integration,"🌟 About Us:
We are a small but fast growing and leading residential property management company known for our commitment to excellence and innovation. We're on a mission to enhance our operations through efficient task management and automation, specially on Zapier.

💼 Job Role:
As a Zapier Expert, you will play a pivotal role in revolutionizing our workflow management system. Your primary responsibility will be of:

🔸 Designing and implementing efficient task automation solutions between:

1. Our Property Management software, Buildium, having an « open API » and;
- Asana (Trigger when maintenance task create in Buildium, it will send it to Asana task to work on these tasks from Asana workflow that is already set)
(Multiple other triggers, from both apps, sync)
- Jotform (only if possible to create an owner bill in Buildium when staff fill out a Jotform)
- Xero (only if possible to send all the accounting numbers into Xero, to make Xero our primary accounting software)

2. Our short-term rental management software Hostaway and;
- Xero (if possible, to send all the accounting numbers to Xero)

3. Calendly & Asana (trigger Calendly when have new meetings and send all the details to Asana, in order for our showing agents to give an update/feedback for each prospect in Asana)

4. Amazon.ca and Xero (all purchases accounting numbers would go into Xero)

5. Etc…

Note: Please don’t use Zapier if one of the software already have an integration with the other software. Unless more efficient.

Thank you and wishing you an amazing week!!","I am an expert Automation Engineer with more than 5 years of experience and have automated business workflows for dozens of clients through Zapier (and Make) and API integrations. You can verify my expertise by checking a few of my relevant past projects at the following links.

https://www.upwork.com/freelancers/usmanashraf678?p=1712450941576347648
https://www.upwork.com/freelancers/usmanashraf678?p=1712449672145350656
https://www.upwork.com/freelancers/usmanashraf678?p=1704767250568237056

In addition to these, I have also automated several workflows through API integrations (by using Python scripts) including Amazon, Xero, and Asana. You can find more details about them below.

https://www.upwork.com/freelancers/usmanashraf678?p=1594937832742051840
https://www.upwork.com/fl/usmanashraf678?p=1693976404040691712
https://www.upwork.com/fl/usmanashraf678?p=1594943344174948352

Let's connect for a quick session to discuss the specifics and I would love to offer a FREE plan of action for the job.

Many Thanks,",Viewed,2,10
"Athena EHR customization; data analytics and visualization using Power BI, Tableau, or Looker","Concierge Medical Practice looking for Athena EHR expert to customize Athena fields and allow for export of patient health data for analysis and visualization of health metrics to present to patients.

Not sure if Tableau, Power BI, or Looker would be the best fit, but we'd like to be able to use the model you develop in the future by having the ability to add new data fields when required and showcase the any data we select to our patients in a dashboard-type layout with organized/appealing graphics. Each patient will have a different focus for their health, so the data that will be presented to one will be different from the next, and so on.

Open to a short call to discuss more if need be. ","I understand that you are looking for effective ways to visualize your data coming from Athena EHR. I would recommend using Tableau for this kind of data.

I suggest creating a few custom dashboards and have these different dashboards populate for the patient based on their heath focus. Here are a couple of dashboarding projects that I have completed:

Marketing Data Dashboard: https://www.upwork.com/freelancers/usmanashraf678?p=1704767250568237056
Facebook Ads Reporting Dashboard: https://www.upwork.com/fl/usmanashraf678?p=1595719039010119680

PS. I have a Masters in Bioengineering from Georgia Tech so I have the relevant background knowledge about EHRs that would help me make this project a success!

Let's connect and I'd love to share a detailed plan on how to execute this project!",Viewed,0,50
Azure Integrations Data Engineer,"Job Overview: We are seeking a skilled Azure Data Factory Integration Engineer to join our team. The ideal candidate will have experience in designing, developing, and maintaining ETL pipelines using Azure Data Factory. Additionally, familiarity with SFTP connections, handling various flat file formats such as CSV, tab delimited files, and XML is essential for this role. As part of our team, you will be responsible for integrating data from diverse sources, ensuring data quality, and optimizing performance within Azure Data Factory.

Responsibilities:

Design, develop, and implement ETL pipelines using Azure Data Factory to extract, transform, and load data from various sources into target destinations.

Collaborate with stakeholders to gather requirements and understand data integration needs.

Configure and manage connections to SFTP servers for data ingestion and extraction processes.

Handle diverse flat file formats including CSV, tab delimited files, and XML within Azure Data Factory pipelines.

Implement data validation and quality checks to ensure accuracy and completeness of the integrated data.

Optimize performance of ETL processes to meet performance and scalability requirements.

Monitor, troubleshoot, and resolve issues related to data integration processes.

Document technical specifications, workflows, and procedures related to Azure Data Factory pipelines.

Stay updated with the latest Azure Data Factory features and best practices, and evaluate their applicability to our data integration solutions.

Collaborate with other team members including data engineers, data analysts, and business stakeholders to deliver successful data integration solutions.

Requirements:

Bachelor’s degree in Computer Science, Information Technology, or related field.

Proven experience working with Azure Data Factory for ETL processes.

Proficient in T-SQL, P-SQL or Azure SQL

Proficiency in configuring and managing SFTP connections within Azure Data Factory.

Strong understanding of flat file formats such as CSV, tab delimited files, and XML.

Experience with data validation techniques and ensuring data quality within ETL pipelines.

Familiarity with performance optimization techniques for ETL processes.

Ability to troubleshoot and resolve issues related to data integration processes.

Excellent communication skills and the ability to collaborate effectively with cross-functional teams.

Detail-oriented with strong analytical and problem-solving skills.

Azure certifications related to data engineering or Azure Data Factory are a plus.

Preferred Qualifications:

Experience with other Azure services such as Azure SQL Database, Azure Data Lake Storage, or Azure Blob Storage.

Familiar with Restful API’s","I am an expert Azure Data Engineer with 5+ years of exprience and have developed several ETL pipelines using Azure Data Factory, Data Lake, Blob Storage, and SQL while ensuring efficient data extraction, transformation, and loading from various sources into target destinations. I have created dozens of pipelines and scripts using Rest APIs and you can verify that in some of the past projects shared below. I am also skilled in configuring SFTP connections, handling CSV, XML, and other flat file formats, and implementing data validation and quality checks to preserve data integrity at all times.

https://www.upwork.com/freelancers/usmanashraf678?p=1757640981355171840
https://www.upwork.com/freelancers/usmanashraf678?p=1594587629741510656

I am eager to share how I can make a positive impact on your project. Let's connect for a quick chat and I would love to discuss the details and show how I can use my expertise to make your data integration process optimized and scalable.

Many Thanks,",Ignored,1,50
AI Transformation Project,"We are looking for an experienced resource who can develop an AI code to do the following:

1- Understand certain business, educational, shape images from google and transform it into an editable format of PPT , PSD or JSON

2- Provide a testable demo to test the code

3- Assist the current developers in implementing the code into the platform

4- Arabic and english language proficiency is preferable","Let's think out side the box! I would recommend Open AI for this AI Transformation project. I have used Open AI vision model to extract data from images. Let's connect and discuss the possibility of doing this for business, educational, shape images from google. Putting the data into editable format of PPT , PSD or JSON after we have identified it using AI would not be any difficult. I can provide a testable demo for a small budget.

Let's connect and discuss this!

Usman",Ignored,0,50
Data Pipeline Engineer - Snapchat API to Google BigQuery Integration,"We are a video company with channels on Snapchat. We pull performance data from Snapchat and store it in Big Query databases. We are seeking an experienced Data Pipeline Engineer to fix and optimize our existing data pipeline between Snapchat Video API and Google BigQuery. The ideal candidate will have a strong understanding of data pipelines, AWS, Google BigQuery, and the Snapchat API. The primary responsibility will be to ensure the smooth flow of data from Snapchat to Google BigQuery while optimizing API calls for efficiency and cost management.

Responsibilities:

Identify and resolve any issues in the existing data pipeline between Snapchat's SnapKit API and Google BigQuery.
Optimize API calls to minimize cost and improve performance.
Develop and maintain data transformation processes to ensure data integrity and consistency.
Monitor and troubleshoot pipeline performance, ensuring reliability and scalability.
Document pipeline architecture, processes, and configurations for future reference.

Requirements:

- Strong understanding of data pipelines and ETL processes.
- Proficiency in AWS services such as S3, Lambda, and EC2.
- Experience working with the Snapchat API and familiarity with its authentication and data retrieval mechanisms.
- In-depth knowledge of Google BigQuery, including SQL querying and schema design.
- Ability to optimize API calls for performance and efficiency.
- Excellent problem-solving skills and attention to detail.
- Strong communication and collaboration skills to work effectively with cross-functional teams.
- Prior experience in optimizing data pipelines for large-scale data processing is preferred.
- Bachelor's degree in Computer Science, Engineering, or related field is a plus.

How to Apply:
If you meet the above requirements and are excited about the opportunity to optimize data pipelines between the Snapchat API and Google BigQuery, please submit your proposal detailing your relevant experience and your approach to solving the challenges outlined. Include any relevant samples of previous work or projects that demonstrate your expertise in data pipeline optimization. ","I am a GCP certified Data Pipeline Engineer with half a decade of experience in integrating social media APIs such as Snapchat API to Google BigQuery. I have created data pipelines in AWS (S3, Lambda, and EC2.) and Google BigQuery. For creating your ETL processes, I am curious what issues you're facing in your current pipeline exactly (other than query optimization that you mentioned).

Some of my projects documented:
Instagram API + AWS + Snowflake: https://www.upwork.com/fl/usmanashraf678?p=1594587629741510656
Delivery Platform API + Big query: https://www.upwork.com/fl/usmanashraf678?p=1693978841274896384

Let's discuss and I'd love to analyze and optimize your current pipeline. I have created 100s of such pipelines previously.

Many Thanks,
",Ignored,0,50
Custom MS Copilot Development,"Objective: To create co-pilot that can query the data and responds to the user questions in an accurate and reproducible manner. We are seeking a prompt engineer freelancer to undertake a short-term project focused on creating custom copilots. The primary objective is to develop a custom copilot capable of querying data from an Excel file, the sample of which is provided. This copilot will be utilized to efficiently handle data queries, searches, and aggregations based on background data.

The bot should be able to query data in excel/data verse which will have atleast ~200K records.

The excel file has following columns SKU Name, Material Number, Font Format, Foundry Name, Family Name and few more. The bot should be able to take the font name provided by the user and return all the matching records along with information in other defined columns

The bot should be able to search on partial/full font names and also on the font format column

The bot should first return the output in an tabular format and then return the list of material numbers in a comma separated format once user confirms or asks for it.

The bot should be able to answer all questions correctly as attached.

Acceptance Criteria:
The successful completion of this task will be evaluated based on the following criteria:
Accuracy: The copilot's responses to user queries must be accurate.
Consistency: The copilot should provide consistent answers over time and across different users.
Specificity: Generic responses to specific questions are unacceptable; the copilot must provide tailored and relevant answers.","I am an experienced prompt engineer and have already worked on a similar project where I developed a custom copilot for querying databases based on natural language commands. You can check more details about that project at https://www.upwork.com/fl/usmanashraf678?p=1693960848319623168

In addition to that, I have implemented dozens of automation scripts to search and aggregate required data from huge Excel and CSV files. You can check a few of these projects at the following links.

https://www.upwork.com/fl/usmanashraf678?p=1693977732631453696
https://www.upwork.com/freelancers/usmanashraf678?p=1693952886184968192
https://www.upwork.com/freelancers/usmanashraf678?p=1693973712367071232

Based on that, the copilot will be programmed to answer the questions and tailor relevant answers for each question (and user). The sample file seems to be missing and it would be easier to quote the exact price once I had a look at it. For now, I have mentioned a tentative price and time frame.

Let's connect for a quick chat to discuss the specifics and I would love to offer more insights and a detailed SOW (for FREE).

Many Thanks,
",Ignored,2,50
Artificial Intelligence Tutor,"Hi, we are looking for some engineers who have deep learning and artificial intelligence project experience.

Please show me some of your past AI project, and during the job you will guide the intern to complete that project again. It doesn't have to be a big project. Even school coding project fore artificial intelligence is sufficient.

Overall the job should be easy if you have some projects in mind.

Thank you.","I have taught ML and AI to high school students at America's top Tech Camp called iD Tech. I have recently completed a number AI projects which I am highlighting with this job as well. I'd love to train and tutor you on these Artificial Intelligence projects.

I love teaching. So, let's connect and discuss!

Many Thanks,",Ignored,1,50
Zapier Automation Expert,"We are seeking a Zapier Automation Expert to streamline our workflow and automate repetitive tasks. The ideal candidate should be proficient in Zapier and have experience with various integrations. The job involves designing and implementing automation workflows, troubleshooting issues, and optimizing processes. The successful candidate will have excellent problem-solving skills, attention to detail, and the ability to work independently.

Relevant skills:
- Proficient in Zapier
- Strong understanding of various integrations
- Experience with workflow automation
- Problem-solving skills
- Attention to detail
- Ability to work independently","I am an experienced Automation Expert who has implemented dozens of integrations and workflow automations with Zapier, Make, and other tools. You can verify my skills by checking more details about some of my past projects.

https://www.upwork.com/freelancers/usmanashraf678?p=1712450941576347648
https://www.upwork.com/freelancers/usmanashraf678?p=1712449672145350656
https://www.upwork.com/freelancers/usmanashraf678?p=1704767250568237056

Let's connect for a quick session to discuss the specifics of the tasks and I would love to share a FREE plan of action.

Many Thanks,",Ignored,0,10
Google Cloud Certified Professional,"We're looking for a GCP CERTIFIED PROFESSIONAL to support our Dashboard Platform based on Media Connectors, Big Query and Looker Studio.
- 05 hour monthly minimum + on demand tasks
- It is mandatory to link individual certification to our domain (@predicta.net)
- GCP Certification must be active at least for the next 12 months
- Accepted Certifications:
- Professional Cloud Architect
- Professional Data Engineer
- Professional Cloud Security Engineer
- Professional Machine Learning Engineer
- Professional Cloud Database Engineer
- Professional Cloud Network Engineer
- Professional Cloud Developer
- Professional Cloud DevOps Engineer","I am a GCP certified professional data engineer with 5+ years of experience working with Python, BigQuery, SQL and Looker studio. I have worked for top companies such as Toast, Lyft, and Freestak (Nike, New Balance and UA data) and have extensive exposure with commercial-scale projects. I have attached some of my past projects and certification link below for verification purposes.

https://www.upwork.com/fl/usmanashraf678?p=1595718198020808704
https://www.upwork.com/fl/usmanashraf678?p=1693978841274896384
https://www.upwork.com/fl/usmanashraf678?p=1594587629741510656
https://google.accredible.com/93316021-073a-44fb-a172-94dc7b7144d7

Let's connect and discuss further!

With Gratitude,",Ignored,0,50
Language Model Training and Prompt Engineering Specialist,"**Job Description: Language Model Training and Prompt Engineering Specialist**

We are in search of a Language Model Training and Prompt Engineering Specialist to join our team, focusing on the optimization and enhancement of large language models (LLMs) to interact seamlessly with our backend systems, particularly in the context of API integration and command execution. This role is pivotal in ensuring that our LLMs can efficiently process and understand requests related to a wide variety of third-party APIs and execute tasks through a comprehensive command library.

### Responsibilities:

- **LLM Fine-Tuning**: Implement strategies for fine-tuning large language models to improve their understanding and execution of tasks related to API interactions, ensuring high accuracy and reliability in command processing.
- **Prompt Engineering**: Develop and refine effective prompts that guide the LLMs in generating accurate and relevant responses, commands, and actions based on user requests and backend requirements.
- **Integration Workflow Optimization**: Work closely with the development team to create a seamless workflow between the LLMs and the backend systems, ensuring that the language models can effectively trigger and manage API calls.
- **Performance Monitoring and Evaluation**: Regularly assess the performance of the LLMs, identifying areas for improvement in understanding, response generation, and API interaction. Implement feedback loops for continuous model enhancement.
- **Documentation and Knowledge Sharing**: Maintain comprehensive documentation on prompt engineering techniques, model tuning processes, and integration practices. Share knowledge and best practices with the team to foster a collaborative and informed working environment.

### Required Skills and Qualifications:

- **Expertise in Natural Language Processing (NLP)**: Strong background in NLP, with a focus on large language models and their applications.
- **Experience with LLM Fine-Tuning**: Demonstrated experience in fine-tuning large language models for specific tasks or domains, including the use of techniques like transfer learning and few-shot learning.
- **Strong Skills in Prompt Engineering**: Ability to craft effective and efficient prompts that guide LLMs in generating desired outputs, with a keen understanding of how prompt design influences model responses.
- **Technical Proficiency**: Solid understanding of programming languages relevant to AI and machine learning, such as Python, and experience with AI/ML frameworks and tools.
- **Problem-Solving and Analytical Skills**: Excellent analytical and problem-solving abilities, with the capacity to identify challenges and opportunities for improvement in LLM performance and interaction.

### Nice-to-Have:

- **Background in API Integration**: Familiarity with API integration concepts and challenges, which would be beneficial for understanding the end-to-end workflow and the interaction between LLMs and backend systems.
- **Experience in an Agile Development Environment**: Comfortable working in fast-paced, Agile development teams, with a collaborative and adaptable approach to project work.

This position offers a unique opportunity to contribute to the cutting edge of LLM application and development, directly impacting the effectiveness and innovation of our platform. If you are passionate about the potential of large language models to transform interactions with technology and are skilled in the art and science of prompt engineering and model training, we would love to have you on our team.","I am a Language Model Training and Prompt Engineering Specialist having created a number of fine-tuned LLMs. I also have integrated 3rd party APIs in a number of projects as well.

Here are some of my relevant skills that I have used in my projects (can be seen under upwork job history):
LLM Fine-Tuning
Prompt Engineering
Integration Workflow Optimization
Language Model Training
API Integration
Language Model Training
Prompt Engineering
Technical Proficiency
Problem-Solving and Analytical Skills
third-party APIs

Let's connect and discuss!
",Viewed,0,51
